time,shunt_voltage,bus_voltage_V,current_mA,power_mW
1,469,5.201,466,2420
1,466,5.201,465,2520
1,432,5.205,459,2260
1,436,5.201,434,2300
1,510,5.197,509,2620
1,466,5.197,466,2580
1,855,5.181,798,3380
0,469,5.197,472,2460
1,463,5.197,467,2420
1,463,5.201,464,2420
0,1037,5.1610000000000005,959,4940
1,431,5.201,445,2360
1,678,5.173,743,3840
0,891,5.165,947,5020
1,435,5.205,460,2260
1,1045,5.165,970,4940
1,523,5.197,583,3040
1,556,5.197,644,2920
1,591,5.181,541,2660
1,583,5.189,808,2780
1,465,5.197,464,2400
0,465,5.197,465,2560
1,570,5.189,537,2940
0,1057,5.1610000000000005,1004,5500
1,542,5.189,622,3380
1,916,5.173,806,4260
1,501,5.189,647,3380
1,601,5.177,539,2780
1,901,5.165,970,4560
0,952,5.161,1020,4840
1,737,5.181,531,2760
1,654,5.185,522,2820
0,464,5.197,466,2420
1,507,5.197,494,2620
1,441,5.201,432,2260
1,508,5.197,507,2760
1,433,5.201,434,2260
0,598,5.197,471,2460
1,505,5.197,508,2660
1,543,5.197,514,2860
1,875,5.193,516,2680
0,465,5.201,466,2420
0,639,5.189,618,3180
1,462,5.201,462,2420
0,484,5.197,466,2420
1,435,5.201,434,2400
0,939,5.1690000000000005,950,4720
0,465,5.197,469,2420
1,434,5.205,438,2300
1,980,5.161,994,5400
1,467,5.197,494,2460
1,671,5.193,536,2620
1,432,5.201,463,2220
1,497,5.201,498,2580
1,652,5.181,708,3480
1,595,5.197,492,2360
0,471,5.201,462,2400
1,757,5.177,724,3700
1,533,5.197,505,2620
0,478,5.1930000000000005,475,2500
0,464,5.201,460,2400
1,434,5.205,437,2260
1,434,5.201,423,2400
1,600,5.177,548,2860
1,462,5.197,466,2420
1,492,5.197,493,2560
1,505,5.197,504,2620
1,538,5.197,530,2760
1,444,5.201,444,2680
1,470,5.201,475,2460
1,740,5.185,666,3380
1,516,5.197,515,2680
1,448,5.201,434,2260
0,495,5.197,468,2420
0,468,5.201,468,2420
0,463,5.201,465,2400
1,511,5.197,506,2620
1,981,5.161,997,4840
1,464,5.201,467,2400
1,701,5.189,773,2880
1,506,5.197,503,2620
0,980,5.165,958,5020
1,836,5.173,802,4420
0,940,5.1610000000000005,867,4820
1,508,5.197,504,2660
1,471,5.201,474,2460
1,434,5.201,442,2400
1,434,5.205,433,2260
1,500,5.197,678,3040
0,1033,5.1530000000000005,1062,5640
1,945,5.161,981,4920
1,451,5.205,447,2320
0,462,5.197,463,2420
1,434,5.201,433,2400
0,463,5.197,465,2420
1,506,5.197,532,2620
1,432,5.205,440,2300
0,471,5.201,467,2420
0,469,5.197,464,2560
1,469,5.201,469,2420
0,463,5.201,464,2420
1,433,5.201,433,2260
1,655,5.193,523,2560
0,462,5.197,461,2420
1,438,5.205,440,2400
1,467,5.201,466,2400
1,465,5.201,464,2420
0,961,5.165,959,4760
1,516,5.201,509,2660
1,433,5.201,435,2420
0,467,5.201,466,2420
1,572,5.189,657,3400
1,952,5.165,972,5020
0,466,5.201,494,2420
1,947,5.165,926,4820
1,536,5.197,535,3680
1,897,5.177,658,3400
1,536,5.197,508,2660
1,897,5.193,518,2680
1,525,5.197,515,2660
1,646,5.177,579,2780
1,465,5.197,465,2420
1,883,5.165,1076,5540
1,502,5.189,598,3080
0,1072,5.1530000000000005,967,4980
1,761,5.173,660,3540
1,564,5.193,598,3120
0,470,5.197,469,2620
1,746,5.189,614,3400
1,643,5.177,540,2780
1,513,5.197,521,2620
1,774,5.173,786,2860
1,508,5.197,511,2660
1,539,5.197,503,2940
1,996,5.161,952,5020
1,857,5.173,870,4360
1,462,5.197,470,2420
1,519,5.197,506,2620
0,464,5.201,469,2460
0,465,5.197,465,2520
1,505,5.201,465,2420
0,474,5.197,503,2420
1,433,5.201,435,2260
1,1046,5.161,1000,4880
1,691,5.181,609,2760
1,516,5.197,519,2680
1,548,5.185,607,2880
0,488,5.201,465,2420
0,994,5.1690000000000005,874,4000
1,466,5.197,465,2420
1,495,5.197,510,2620
1,434,5.205,438,2420
1,461,5.201,470,2460
0,466,5.201,465,2420
1,840,5.181,811,3400
0,465,5.201,465,2420
1,434,5.201,441,2300
1,541,5.197,493,3140
1,538,5.197,631,3280
0,996,5.1610000000000005,959,5300
1,556,5.177,843,4360
1,551,5.185,541,2780
0,479,5.197,464,2420
0,468,5.197,463,2400
1,505,5.201,434,2260
0,468,5.201,534,2420
1,642,5.197,579,3080
1,509,5.193,616,2860
1,622,5.189,623,3220
1,665,5.181,547,2860
1,653,5.185,665,3380
1,509,5.193,647,2860
1,533,5.193,573,3220
1,902,5.185,685,3340
0,950,5.165,990,5120
0,467,5.201,468,2420
1,464,5.201,466,2420
1,606,5.185,533,2780
1,692,5.173,529,2720
1,808,5.189,562,2820
1,678,5.197,500,2580
0,471,5.193,514,2560
1,431,5.201,473,2400
1,655,5.177,538,2780
1,741,5.189,552,2620
1,433,5.201,461,2260
1,478,5.197,421,2400
1,592,5.197,577,2940
1,558,5.197,504,3300
1,434,5.205,433,2260
1,466,5.197,465,2420
1,433,5.205,434,2260
1,433,5.201,433,2220
0,484,5.197,465,2420
1,463,5.197,465,2420
1,546,5.197,528,2940
1,435,5.205,433,2260
1,436,5.201,436,2360
0,977,5.165,993,4980
0,621,5.185,649,3180
1,617,5.189,626,3040
1,504,5.201,499,2660
1,584,5.197,600,3940
1,471,5.197,496,2580
1,458,5.201,435,2260
1,793,5.177,620,4000
1,438,5.201,434,2460
1,504,5.197,506,2660
1,612,5.193,756,3860
0,463,5.197,509,2720
1,904,5.193,546,2720
1,677,5.185,638,3280
1,470,5.197,468,2460
1,539,5.197,595,3240
1,602,5.189,598,3180
1,579,5.197,533,3500
1,464,5.197,696,2580
1,664,5.185,676,4260
1,437,5.201,439,2320
1,883,5.185,651,3380
0,493,5.197,497,2680
0,494,5.201,462,2400
1,549,5.197,523,3020
1,439,5.205,425,2260
1,948,5.165,956,4940
1,695,5.181,540,2780
1,551,5.197,640,3020
1,435,5.201,453,2300
0,461,5.201,463,2400
1,422,5.205,435,2220
1,651,5.185,539,2820
0,951,5.1610000000000005,919,4760
1,434,5.201,455,2420
1,466,5.201,488,2520
1,465,5.201,444,2300
1,652,5.173,916,2860
1,434,5.201,430,2320
1,460,5.201,462,2420
0,492,5.201,463,2400
0,901,5.165,958,5220
0,474,5.193,498,2580
0,986,5.157,978,4560
1,506,5.197,549,2820
1,582,5.181,527,2760
1,432,5.201,460,2260
1,613,5.193,579,2780
1,566,5.197,566,2780
1,466,5.197,497,2420
0,468,5.201,471,2460
1,440,5.201,434,2420
1,659,5.193,543,2560
1,575,5.193,510,3020
1,507,5.193,654,3400
0,1018,5.157,959,5540
1,544,5.193,505,2660
1,513,5.197,508,2660
1,543,5.197,557,2880
1,539,5.193,603,3540
1,441,5.205,443,2300
1,468,5.197,480,2420
1,538,5.197,578,3380
1,500,5.201,582,2620
1,428,5.205,432,2200
0,463,5.197,465,2420
1,710,5.181,790,3940
0,608,5.189,628,3860
1,433,5.201,460,2400
1,601,5.185,542,2780
1,510,5.197,510,2660
1,621,5.193,852,3400
1,469,5.197,467,2400
1,506,5.197,434,2400
0,1077,5.1610000000000005,1034,5280
0,462,5.197,462,2400
1,622,5.189,540,2820
1,462,5.197,510,2420
1,504,5.197,498,2580
1,694,5.181,692,3640
1,433,5.205,433,2360
1,580,5.193,637,3020
1,592,5.189,568,3020
1,537,5.193,530,2620
0,957,5.165,983,4840
1,525,5.197,522,2720
1,434,5.205,458,2260
1,530,5.193,652,3680
0,830,5.1610000000000005,875,4420
0,533,5.193,477,2500
1,502,5.193,576,3380
1,464,5.201,465,2420
0,464,5.197,463,2420
1,462,5.197,466,2400
1,451,5.201,440,2220
1,448,5.201,449,2460
1,1001,5.161,1029,5280
0,462,5.201,465,2420
0,534,5.193,533,2780
1,541,5.197,582,3080
0,462,5.201,461,2420
1,467,5.197,464,2560
1,471,5.197,496,2420
0,464,5.197,483,2460
1,433,5.201,432,2260
1,634,5.193,513,2660
1,508,5.197,503,2620
1,434,5.205,435,2260
1,515,5.193,662,3040
0,571,5.189,505,2880
0,463,5.197,461,2400
1,624,5.189,621,3220
1,433,5.205,431,2260
1,657,5.189,539,2560
1,651,5.185,542,2780
1,436,5.201,436,2300
1,430,5.205,438,2220
1,642,5.193,511,2660
